"日期","渠道","注册数"
"2017-07-14","haijieqian-oppo","126"
"2017-07-14","haijieqian-vivo","58"
"2017-07-14","haijieqian-wandoujia","146"
"2017-07-14","haijieqian-xiaomi","29"
"2017-07-14","haijieqian-yyb","203"
"2017-07-14","hjieqian","10"
"2017-07-14","jisuqiandai-leshi","10"
"2017-07-14","jisuqiandai-vivo","5"
"2017-07-14","jq-","16"
"2017-07-14","jq-daikuanshequ","1"
"2017-07-14","jq-haohaojie","6"
"2017-07-14","jq-laijiezhijia","91"
"2017-07-14","jq-qingsongjie","1"
"2017-07-14","jq-shunda","547"
"2017-07-14","jq-shundai","125"
"2017-07-14","jq-yinhangdai","2"
"2017-07-14","kuaijiekuan-anzhi","1"
"2017-07-14","kuaijiekuan-huawei","15"
"2017-07-14","kuaijiekuan-oppo","3"
"2017-07-14","kuaijiekuan-sougou","4"
"2017-07-14","kuaijiekuan-vivo","16"
"2017-07-14","kuaijiekuan-yyb","17"
"2017-07-14","qianbaochaoren-leshi","1"
"2017-07-14","qianbaochaoren-vivo","12"
"2017-07-14","qianbaochaoren-yyb","2"
"2017-07-15","","1"
"2017-07-15","AppStore","387"
"2017-07-15","haidaikuan-anzhi","2"
"2017-07-15","haidaikuan-baidu","9"
"2017-07-15","haidaikuan-oppo","9"
"2017-07-15","haidaikuan-sougou","2"
"2017-07-15","haidaikuan-vivo","42"
"2017-07-15","haidaikuan-yyb","517"
"2017-07-15","haijieqian-360","75"
"2017-07-15","haijieqian-anzhi","4"
"2017-07-15","haijieqian-baidu","15"
"2017-07-15","haijieqian-huawei","33"
"2017-07-15","haijieqian-jq-haohaojie","1"
"2017-07-15","haijieqian-jq-laijiezhijia","12"
"2017-07-15","haijieqian-jq-shundai","16"
"2017-07-15","haijieqian-kongzhongloan01","1"
"2017-07-15","haijieqian-meizu","22"
"2017-07-15","haijieqian-oppo","145"
"2017-07-15","haijieqian-sougou","4"
"2017-07-15","haijieqian-vivo","49"
"2017-07-15","haijieqian-wandoujia","133"
"2017-07-15","haijieqian-xiaomi","37"
"2017-07-15","haijieqian-yyb","197"
"2017-07-15","hjieqian","7"
"2017-07-15","jisuqiandai-leshi","8"
"2017-07-15","jisuqiandai-vivo","3"
"2017-07-15","jq-","14"
"2017-07-15","jq-daikuanshequ","2"
"2017-07-15","jq-haohaojie","5"
"2017-07-15","jq-laijiezhijia","139"
"2017-07-15","jq-qingsongjie","1"
"2017-07-15","jq-rongyitui","1"
"2017-07-15","jq-shunda","550"
"2017-07-15","jq-shundai","130"
"2017-07-15","jq-wangdaixiaomao","1"
"2017-07-15","jq-yingyanqianbao","1"
"2017-07-15","kuaijiekuan-anzhi","4"
"2017-07-15","kuaijiekuan-baidu","3"
"2017-07-15","kuaijiekuan-huawei","19"
"2017-07-15","kuaijiekuan-sougou","2"
"2017-07-15","kuaijiekuan-vivo","14"
"2017-07-15","kuaijiekuan-yyb","21"
"2017-07-15","qianbaochaoren-vivo","7"
"2017-07-15","qianbaochaoren-yingyonghui","7"
"2017-07-15","qianbaochaoren-yyb","3"
"2017-07-16","","1"
"2017-07-16","AppStore","489"
"2017-07-16","haidaikuan-anzhi","2"
"2017-07-16","haidaikuan-baidu","7"
"2017-07-16","haidaikuan-oppo","4"
"2017-07-16","haidaikuan-sougou","6"
"2017-07-16","haidaikuan-vivo","52"
"2017-07-16","haidaikuan-yyb","504"
"2017-07-16","haijieqian-360","61"
"2017-07-16","haijieqian-anzhi","5"
"2017-07-16","haijieqian-baidu","21"
"2017-07-16","haijieqian-hjieqian","2"
"2017-07-16","haijieqian-huawei","17"
"2017-07-16","haijieqian-jq-laijiezhijia","10"
"2017-07-16","haijieqian-jq-shundai","18"
"2017-07-16","haijieqian-meizu","21"
"2017-07-16","haijieqian-oppo","170"
"2017-07-16","haijieqian-sougou","3"
"2017-07-16","haijieqian-vivo","67"
"2017-07-16","haijieqian-wandoujia","126"
"2017-07-16","haijieqian-xiaomi","34"
"2017-07-16","haijieqian-yyb","218"
"2017-07-16","hjieqian","11"
"2017-07-16","jisuqiandai-leshi","2"
"2017-07-16","jisuqiandai-vivo","3"
"2017-07-16","jq-","13"
"2017-07-16","jq-haohaojie","9"
"2017-07-16","jq-laijiezhijia","128"
"2017-07-16","jq-qianxin","1"
