"日期","渠道","首贷订单数"
"2017-07-09","haijieqian-bugu","2"
"2017-07-09","haijieqian-h360","6"
"2017-07-09","haijieqian-hjieqian","11"
"2017-07-09","haijieqian-huawei","31"
"2017-07-09","haijieqian-hw01","3"
"2017-07-09","haijieqian-jq-","5"
"2017-07-09","haijieqian-jq-daikuanwang","2"
"2017-07-09","haijieqian-jq-haohaojie","9"
"2017-07-09","haijieqian-jq-huijiejiekuan","13"
"2017-07-09","haijieqian-jq-jinrong58","1"
"2017-07-09","haijieqian-jq-kuailaiqian","1"
"2017-07-09","haijieqian-jq-laijieqian","2"
"2017-07-09","haijieqian-jq-laijiezhijia","79"
"2017-07-09","haijieqian-jq-miaojiekuan","2"
"2017-07-09","haijieqian-jq-rongyitui","6"
"2017-07-09","haijieqian-jq-shanyin","1"
"2017-07-09","haijieqian-jq-shunda","103"
"2017-07-09","haijieqian-jq-shundai","33"
"2017-07-09","haijieqian-jq-souyijie","6"
"2017-07-09","haijieqian-jq-wangdaixiaomao","3"
"2017-07-09","haijieqian-jq-yuyongjinfu","5"
"2017-07-09","haijieqian-jq-zhidejie","5"
"2017-07-09","haijieqian-leshi","5"
"2017-07-09","haijieqian-lsd01","1"
"2017-07-09","haijieqian-meizu","16"
"2017-07-09","haijieqian-mz01","3"
"2017-07-09","haijieqian-oppo","122"
"2017-07-09","haijieqian-oppo01","16"
"2017-07-09","haijieqian-sougou","2"
"2017-07-09","haijieqian-vivo","83"
"2017-07-09","haijieqian-vivo01","10"
"2017-07-09","haijieqian-wandoujia","158"
"2017-07-09","haijieqian-xiaomi","54"
"2017-07-09","haijieqian-yingyongbao","7"
"2017-07-09","haijieqian-yingyonghui","4"
"2017-07-09","haijieqian-yyb","268"
"2017-07-09","haijieqian-yyb01","52"
"2017-07-09","hjieqian","5"
"2017-07-09","jisuqiandai-vivo","3"
"2017-07-09","jq-","12"
